Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR
03-Oct-25,28-Oct-25,ABB,Holding,5190,5200,4950.15,4.85,5449.85,5.01,0.720359771
03-Oct-25,28-Oct-25,BEL,Holding,412.7,410,388.6,6.21,431.4,4.54,0.750242201
03-Oct-25,28-Oct-25,BSE,Holding,2097,2100,1903.1,10.19,2296.9,9.54,0.566190297
03-Oct-25,28-Oct-25,CAMS,Holding,3819,3800,3575.85,6.8,4024.15,5.38,0.657977841
03-Oct-25,28-Oct-25,CDSL,Holding,1489.8,1500,1415.05,5.29,1584.95,6.39,0.494953085
03-Oct-25,28-Oct-25,CGPOWER,Holding,748.35,840,737.7,1.45,942.3,25.92,0.670569931
03-Oct-25,28-Oct-25,COALINDIA,Holding,383.9,400,381.2,0.71,418.8,9.1,0.727078891
03-Oct-25,28-Oct-25,IEX,Holding,143.69,150,139.75,2.82,160.25,11.53,0.513863216
03-Oct-25,28-Oct-25,INDIGO,Holding,5652,5800,5554.85,1.75,6045.15,6.96,0.808999755
03-Oct-25,28-Oct-25,IRCTC,Holding,708.4,800,711.3,-0.4,888.7,25.46,0.852494973
03-Oct-25,28-Oct-25,KFINTECH,Holding,1068,1100,1014.55,5.27,1185.45,11,0.617715618
03-Oct-25,28-Oct-25,MCX,Holding,8171.5,8000,7434.9,9.91,8565.1,4.82,0.531802965
03-Oct-25,28-Oct-25,MOTHERSON,Holding,106.66,115,105.05,1.54,124.95,17.15,0.463021681
03-Oct-25,28-Oct-25,PFC,Holding,413,420,399.15,3.47,440.85,6.75,0.646457954
03-Oct-25,28-Oct-25,POWERGRID,Holding,288.65,300,284.2,1.57,315.8,9.41,0.575964202
03-Oct-25,28-Oct-25,SIEMENS,Holding,3168,3300,3105,2.03,3495,10.33,0.771046983
03-Oct-25,28-Oct-25,360ONE,Non-Hld,1047.1,1100,1029.45,1.72,1170.55,11.79,0.954863625
03-Oct-25,28-Oct-25,ABCAPITAL,Non-Hld,304.5,300,280.8,8.45,319.2,4.83,0.431057188
03-Oct-25,28-Oct-25,ADANIENT,Non-Hld,2586.1,2600,2448.7,5.62,2751.3,6.39,0.545450189
03-Oct-25,28-Oct-25,ADANIGREEN,Non-Hld,1072.5,1200,1058.5,1.33,1341.5,25.09,0.715222876
03-Oct-25,28-Oct-25,ADANIPORTS,Non-Hld,1419.9,1400,1337.1,6.2,1462.9,3.03,0.729020979
03-Oct-25,28-Oct-25,ALKEM,Non-Hld,5425,5500,5274.95,2.85,5725.05,5.54,0.897867738
03-Oct-25,28-Oct-25,AMBER,Non-Hld,8205.5,8500,7930.35,3.47,9069.65,10.54,0.9870317
03-Oct-25,28-Oct-25,AMBUJACEM,Non-Hld,575.6,600,567.5,1.43,632.5,9.89,0.729106628
03-Oct-25,28-Oct-25,ANGELONE,Non-Hld,2205,2200,2008.1,9.81,2391.9,8.48,0.741743529
03-Oct-25,28-Oct-25,APLAPOLLO,Non-Hld,1735,1700,1597.9,8.59,1802.1,3.87,0.706001136
03-Oct-25,28-Oct-25,APOLLOHOSP,Non-Hld,7450,8000,7445,0.07,8555,14.84,0.797367768
03-Oct-25,28-Oct-25,ASHOKLEY,Non-Hld,139.74,145,135.6,3.06,154.4,10.5,0.579159644
03-Oct-25,28-Oct-25,ASIANPAINT,Non-Hld,2358.1,2500,2344.4,0.59,2655.6,12.62,0.847880691
03-Oct-25,28-Oct-25,ASTRAL,Non-Hld,1385.1,1500,1374.5,0.78,1625.5,17.36,0.777206913
03-Oct-25,28-Oct-25,AUBANK,Non-Hld,740.5,740,695.7,6.44,784.3,5.92,0.854107649
