Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO,CMP_change,CMP_pct_change,CMP_trend,strikePrice_change,strikePrice_pct_change,strikePrice_trend,Support_change,Support_pct_change,Support_trend,Resistance_change,Resistance_pct_change,Resistance_trend,PCR_change,PCR_pct_change,PCR_trend,RSI_change,RSI_pct_change,RSI_trend,MACD_change,MACD_pct_change,MACD_trend,MACD_Signal_change,MACD_Signal_pct_change,MACD_Signal_trend,MACD_Hist_change,MACD_Hist_pct_change,MACD_Hist_trend,BB_HI_change,BB_HI_pct_change,BB_HI_trend,BB_MID_change,BB_MID_pct_change,BB_MID_trend,BB_LO_change,BB_LO_pct_change,BB_LO_trend
03-10-2025,28-10-2025,360ONE,Non-Hld,1047.1,1100,1029.45,1.72,1170.55,11.79,0.95,49.54,-9.88,-8.81,-1.07,1109.09,1052.01,994.93,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
06-10-2025,28-10-2025,360ONE,Non-Hld,1059.5,1100,1033.15,2.56,1166.85,10.14,0.79,52.79,-7.39,-8.52,1.13,1110.1,1053.25,996.4,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
07-10-2025,28-10-2025,360ONE,Non-Hld,1067,1100,1036.75,2.92,1163.25,9.03,0.73,54.47,-4.81,-7.78,2.97,1111.65,1054.72,997.79,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
08-10-2025,28-10-2025,360ONE,Non-Hld,1085.9,1100,1038.1,4.61,1161.9,7,0.68,58.11,-1.46,-6.52,5.06,1114.99,1056.79,998.59,38.8,3.705472257,up,0,0,unchanged,8.65,0.840254505,up,-8.65,-0.738968861,down,-0.27,-28.42105263,down,8.57,17.2991522,up,8.42,-85.22267206,up,2.29,-25.99318956,up,6.13,-572.8971963,up,5.9,0.531967649,up,4.78,0.454368304,up,3.66,0.367865076,up
09-10-2025,28-10-2025,360ONE,Non-Hld,1081.7,1100,1040.75,3.94,1159.25,7.17,0.69,57.83,1.11,-4.99,6.1,1115.84,1057.11,998.38,22.2,2.095327985,up,0,0,unchanged,7.6,0.735614383,up,-7.6,-0.65132622,down,-0.1,-12.65822785,down,5.04,9.547262739,up,8.5,-115.0202977,up,3.53,-41.43192488,up,4.97,439.8230088,up,5.74,0.517070534,up,3.86,0.36648469,up,1.98,0.198715375,up
10-10-2025,28-10-2025,360ONE,Non-Hld,1093.2,1100,1042.15,4.9,1157.85,5.92,0.69,60.3,3.97,-3.2,7.17,1120.03,1059.01,997.99,26.2,2.455482662,up,0,0,unchanged,5.4,0.520858452,up,-5.4,-0.464216634,down,-0.04,-5.479452055,down,5.83,10.70313934,up,8.78,-182.5363825,up,4.58,-58.8688946,up,4.2,141.4141414,up,8.38,0.75383439,up,4.29,0.406743022,up,0.2,0.020044298,up
13-10-2025,28-10-2025,360ONE,Non-Hld,1100,1100,1042.6,5.51,1157.4,5.22,0.55,61.72,6.66,-1.23,7.89,1124.3,1060.64,996.98,14.1,1.298462105,up,0,0,unchanged,4.5,0.43348425,up,-4.5,-0.387296669,down,-0.13,-19.11764706,down,3.61,6.212355877,up,8.12,-556.1643836,up,5.29,-81.13496933,up,2.83,55.92885375,up,9.31,0.834985067,up,3.85,0.36431079,up,-1.61,-0.161227331,down
14-10-2025,28-10-2025,360ONE,Non-Hld,1122,1100,1038.4,8.06,1161.6,3.53,0.5,66.84,10.72,1.16,9.55,1132.56,1063.03,993.49,40.3,3.725617084,up,0,0,unchanged,-2.35,-0.225798703,down,2.35,0.202717274,up,-0.19,-27.53623188,down,9.01,15.58014871,up,9.61,865.7657658,up,6.15,-123.246493,up,3.45,56.55737705,up,16.72,1.498422713,up,5.92,0.560017406,up,-4.89,-0.489793465,down
15-10-2025,28-10-2025,360ONE,Non-Hld,1161,1100,1021.2,13.69,1178.8,1.54,0.6,72.19,16.46,4.22,12.24,1147.27,1066.49,985.71,67.8,6.201975851,up,0,0,unchanged,-20.95,-2.010267236,down,20.95,1.80938809,up,-0.09,-13.04347826,down,11.89,19.71807629,up,12.49,314.6095718,up,7.42,-231.875,up,5.07,70.71129707,up,27.24,2.432077712,up,7.48,0.706320054,up,-12.28,-1.230473251,down
16-10-2025,28-10-2025,360ONE,Non-Hld,1169.7,1100,1014.55,15.3,1185.45,1.35,0.59,73.73,21.68,7.71,13.96,1161.75,1069.93,978.11,69.7,6.336363636,up,0,0,unchanged,-28.05,-2.690389411,down,28.05,2.423535511,up,0.04,7.272727273,up,12.01,19.4588464,up,15.02,225.5255255,up,8.94,-726.8292683,up,6.07,76.93282636,up,37.45,3.330961487,up,9.29,0.875886257,up,-18.87,-1.892716002,down
17-10-2025,28-10-2025,360ONE,Non-Hld,1167,1200,1139.4,2.43,1260.6,8.03,0.58,71.16,24.97,11.16,13.81,1173.01,1073.07,973.13,45,4.010695187,up,100,9.090909091,up,101,9.726502311,up,99,8.522727273,up,0.08,16,up,4.32,6.463195691,up,14.25,132.9291045,up,10,862.0689655,up,4.26,44.60732984,up,40.45,3.571554708,up,10.04,0.944470053,up,-20.36,-2.049341211,down
20-10-2025,28-10-2025,360ONE,Non-Hld,1190.6,1200,1157.85,2.83,1242.15,4.33,0.51,73.78,28.73,14.68,14.05,1189.1,1078.2,967.29,29.6,2.54952627,up,100,9.090909091,up,136.65,13.3813161,up,63.35,5.374109264,up,-0.09,-15,down,1.59,2.202521125,up,12.27,74.54434994,up,10.46,247.8672986,up,1.81,14.7875817,up,41.83,3.646046702,up,11.71,1.097994355,up,-18.42,-1.868703777,down
21-10-2025,28-10-2025,360ONE,Non-Hld,1172,1200,1155.3,1.45,1244.7,6.21,0.46,70.8,30.72,17.89,12.84,1202.26,1084.45,966.63,2.3,0.196631615,up,100,9.090909091,up,140.75,13.87314573,up,59.25,4.998101987,up,-0.13,-22.03389831,down,-2.93,-3.97395904,down,9.04,41.69741697,up,10.18,132.0363165,up,-1.12,-8.022922636,down,40.51,3.486980848,up,14.52,1.357098128,up,-11.48,-1.173692121,down
23-10-2025,28-10-2025,360ONE,Non-Hld,1180,1200,1161.6,1.58,1238.4,4.95,0.61,71.36,32.21,20.75,11.46,1213.11,1092.41,971.71,13,1.113967438,up,0,0,unchanged,22.2,1.948393892,up,-22.2,-1.761066159,down,0.03,5.172413793,up,0.2,0.281056773,up,7.24,28.99479375,up,9.59,85.93189964,up,-2.35,-17.0166546,down,40.1,3.418555682,up,19.34,1.802305535,up,-1.42,-0.145920894,down
24-10-2025,28-10-2025,360ONE,Non-Hld,1184.1,1200,1173.4,0.91,1226.6,3.59,0.64,72.45,37.4,25.49,11.91,1223.61,1100.37,977.13,-6.5,-0.545943222,down,0,0,unchanged,15.55,1.343006434,up,-15.55,-1.251861691,down,0.13,25.49019608,up,-1.33,-1.802656546,down,8.67,30.17751479,up,10.81,73.63760218,up,-2.14,-15.23131673,down,34.51,2.902194937,up,22.17,2.056204786,up,9.84,1.017275067,up
03-10-2025,28-10-2025,ABB,Holding,5190,5200,4950.15,4.85,5449.85,5.01,0.72,44.49,-8.37,3.14,-11.51,5450.37,5248.96,5047.55,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
06-10-2025,28-10-2025,ABB,Holding,5233,5200,4947.8,5.77,5452.2,4.19,0.61,48.1,-8.58,0.8,-9.37,5446.85,5253.99,5061.13,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
07-10-2025,28-10-2025,ABB,Holding,5224,5300,5039.1,3.67,5560.9,6.45,0.63,48.26,-8.52,-1.07,-7.45,5441.39,5259.55,5077.71,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
08-10-2025,28-10-2025,ABB,Holding,5110.5,5300,5000.05,2.21,5599.95,9.58,0.62,40.28,-15.64,-3.98,-11.66,5441.7,5259.38,5077.06,-79.5,-1.531791908,down,100,1.923076923,up,49.9,1.008050261,up,150.1,2.754204244,up,-0.1,-13.88888889,down,-4.21,-9.462800629,down,-7.27,86.85782557,down,-7.12,-226.7515924,down,-0.15,1.303214596,down,-8.67,-0.159071769,down,10.42,0.198515515,up,29.51,0.584640073,up
09-10-2025,28-10-2025,ABB,Holding,5151,5300,5035.3,2.3,5564.7,8.04,0.63,42.31,-19.6,-7.11,-12.5,5442.69,5258.61,5074.53,-82,-1.566978788,down,100,1.923076923,up,87.5,1.768462751,up,112.5,2.063387257,up,0.02,3.278688525,up,-5.79,-12.03742204,down,-11.02,128.4382284,down,-7.91,-988.75,down,-3.13,33.40448239,down,-4.16,-0.076374418,down,4.62,0.087933171,up,13.4,0.264763007,up
10-10-2025,28-10-2025,ABB,Holding,5188,5300,5062.75,2.48,5537.25,6.74,0.65,46.6,-19.33,-9.55,-9.78,5443.02,5257,5070.99,-36,-0.689127106,down,0,0,unchanged,23.65,0.469329841,up,-23.65,-0.42529087,down,0.02,3.174603175,up,-1.66,-3.439701616,down,-10.81,126.8779343,down,-8.48,792.5233645,down,-2.33,31.27516779,down,1.63,0.029955581,up,-2.55,-0.048483235,down,-6.72,-0.132343123,down
13-10-2025,28-10-2025,ABB,Holding,5130,5300,5053.1,1.53,5546.9,8.13,0.63,43.23,-21.97,-12.04,-9.94,5444,5251.95,5059.9,19.5,0.381567361,up,0,0,unchanged,53.05,1.06098939,up,-53.05,-0.947329887,down,0.01,1.612903226,up,2.95,7.323733863,up,-6.33,40.47314578,down,-8.06,202.5125628,down,1.72,-14.75128645,up,2.3,0.042266204,up,-7.43,-0.141271405,down,-17.16,-0.337990884,down
