Expiry,Symbol,PCR,CMP,Support,Dist_From_Support,Resistance,Dist_From_Resistance,Max_OI_Strike,Prev Close,Close
30-Sep-2025,360ONE,0.6,998.1,999.95,-0.18,1200.05,20.24,1100,1022.1,1001.8
30-Sep-2025,ABB,0.66,5179,5178.85,0.01,6021.15,16.27,5600,5200.7,5173.4
30-Sep-2025,ABCAPITAL,0.36,280.25,280.1,0.06,319.9,14.15,300,286.5,278.9
30-Sep-2025,ADANIENSOL,0.49,879,877.45,0.18,1042.55,18.61,960,894.2,879.2
30-Sep-2025,ADANIENT,0.69,2535.6,2531.75,0.16,2868.25,13.12,2700,2576.4,2543.7
30-Sep-2025,ADANIGREEN,0.41,1051,1049.0,0.2,1271.0,20.94,1160,1079.55,1047.4
30-Sep-2025,ADANIPORTS,0.61,1391.4,1387.7,0.27,1492.3,7.26,1440,1407.2,1392
30-Sep-2025,ALKEM,0.91,5413.5,5405.3,0.16,5794.7,7.05,5600,5508,5433
30-Sep-2025,AMBER,0.64,8144,8104.650000000001,0.49,8895.35,9.23,8500,8438.5,8162.5
30-Sep-2025,AMBUJACEM,0.48,565.35,567.0,-0.29,633.0,11.97,600,579.4,565.2
30-Sep-2025,ANGELONE,0.5,2144,2091.85,2.5,2508.15,16.99,2300,2194.9,2136.4
30-Sep-2025,APLAPOLLO,0.5,1656.2,1655.6000000000001,0.04,1744.3999999999999,5.33,1700,1688.3,1660.1
30-Sep-2025,APOLLOHOSP,0.47,7513,7501.75,0.15,8298.25,10.46,7900,7624,7510
30-Sep-2025,ASHOKLEY,0.86,141.8,140.29999999999998,1.07,149.70000000000002,5.58,145.0,140.45,141.93
30-Sep-2025,ASIANPAINT,0.31,2342,2344.35,-0.1,2855.65,21.94,2600,2404,2342.8
30-Sep-2025,ASTRAL,0.56,1373,1373.65,-0.04,1626.35,18.46,1500,1405.9,1373.8
30-Sep-2025,AUBANK,0.96,743.85,651.5,14.18,748.5,0.63,700,741.6,743.2
30-Sep-2025,AUROPHARMA,0.87,1090.5,1076.25,1.33,1123.75,3.05,1100,1097,1090
30-Sep-2025,AXISBANK,0.77,1154,1086.1499999999999,6.25,1153.8500000000001,-0.01,1120,1166.6,1154
30-Sep-2025,BAJAJ-AUTO,0.36,8715,8688.75,0.31,9511.25,9.14,9100,8842.5,8702
30-Sep-2025,BAJAJFINSV,0.54,2003,2000.75,0.12,2199.25,9.8,2100,2035.6,2003.2
30-Sep-2025,BAJFINANCE,0.79,985,984.1999999999999,0.09,1075.8,9.22,1030,1012.75,985.1
30-Sep-2025,BANDHANBNK,0.55,154.9,154.35,0.36,175.65,13.4,165.0,157.27,155.02
30-Sep-2025,BANKBARODA,0.89,248.45,231.0,7.56,249.0,0.23,240.0,252.82,248.45
30-Sep-2025,BANKINDIA,0.72,116.49,116.0,0.43,134.0,15.04,125.0,119.76,116.33
30-Sep-2025,BDL,0.63,1499.9,1495.8,0.28,1804.2,20.29,1650,1555.9,1497.8
30-Sep-2025,BEL,0.54,396.4,395.09999999999997,0.33,424.90000000000003,7.19,410,403.15,395.9
30-Sep-2025,BHARATFORG,1.16,1180.7,1182.6499999999999,-0.16,1257.3500000000001,6.5,1220,1207.3,1181.1
30-Sep-2025,BHARTIARTL,0.45,1915.4,1910.9,0.24,2009.1,4.9,1960,1935.6,1916.6
30-Sep-2025,BHEL,0.83,231,229.95000000000002,0.46,250.04999999999998,8.25,240,234.62,231.01
30-Sep-2025,BIOCON,0.49,338.95,338.45000000000005,0.15,381.54999999999995,12.57,360,355.95,338.9
30-Sep-2025,BLUESTARCO,0.54,1894.5,1877.25,0.92,2122.75,12.05,2000,1927.3,1890.1
30-Sep-2025,BOSCHLTD,0.29,38175,38307.0,-0.34,43693.0,14.46,41000,38525,38150
30-Sep-2025,BPCL,0.69,324.5,323.45,0.33,336.55,3.72,330,329.65,324.35
30-Sep-2025,BRITANNIA,0.58,5935,5884.75,0.86,6115.25,3.04,6000,5953.5,5920.5
30-Sep-2025,BSE,0.52,2047.9,2054.15,-0.3,2545.85,24.32,2300,2043.3,2043.2
30-Sep-2025,CAMS,0.73,3805,3792.35,0.34,4207.65,10.59,4000,3868.4,3800
30-Sep-2025,CANBK,1.14,118.25,101.65,16.34,118.35,0.09,110,121.44,118.08
30-Sep-2025,CDSL,0.54,1473,1470.35,0.19,1729.65,17.43,1600,1494.8,1467.7
30-Sep-2025,CGPOWER,0.62,742,740.6999999999999,0.18,859.3000000000001,15.81,800,759.1,739.4
30-Sep-2025,CHOLAFIN,0.92,1572.3,1429.85,9.97,1570.15,-0.13,1500,1592.8,1569.9
30-Sep-2025,CIPLA,0.43,1499.4,1496.9,0.17,1703.1,13.59,1600,1509.7,1499.4
30-Sep-2025,COALINDIA,0.55,389.1,387.85,0.33,412.15,5.93,400,392.5,389.15
30-Sep-2025,COFORGE,0.37,1541,1533.9499999999998,0.46,2106.05,36.67,1820,1591.3,1538.5
30-Sep-2025,COLPAL,0.45,2215,2217.4,-0.1,2782.6,25.63,2500,2274.2,2224.3
30-Sep-2025,CONCOR,0.51,525.1,524.15,0.19,595.85,13.48,560,529.75,524.8
30-Sep-2025,CROMPTON,0.58,293.9,291.65,0.78,348.35,18.53,320,299.25,292.6
30-Sep-2025,CUMMINSIND,0.71,3949.5,3933.8500000000004,0.4,4266.15,8.02,4100,3976.9,3947.6
30-Sep-2025,CYIENT,0.74,1147.1,1062.0,8.02,1138.0,-0.79,1100,1170.1,1134.1
30-Sep-2025,DABUR,0.46,500.1,499.49999999999994,0.13,580.5,16.08,540,506.3,499.75
30-Sep-2025,DALBHARAT,0.25,2222,2324.65,-4.41,2635.35,18.61,2480,2262.3,2215.4
30-Sep-2025,DELHIVERY,0.52,445.45,445.05,0.09,514.9499999999999,15.61,480,455.4,445.7
30-Sep-2025,DIVISLAB,0.64,5675,5655.1,0.36,6544.9,15.33,6100,5897,5689.5
30-Sep-2025,DIXON,0.63,17530,17447.3,0.48,19552.7,11.54,18500,18202,17511
30-Sep-2025,DLF,0.53,717.4,715.9,0.21,844.1,17.67,780,721.05,716.05
30-Sep-2025,DMART,0.28,4524.1,4501.0,0.52,5099.0,12.71,4800,4576.2,4517.8
30-Sep-2025,DRREDDY,0.57,1254,1253.6499999999999,0.03,1346.3500000000001,7.37,1300,1275.2,1253.1
30-Sep-2025,EICHERMOT,0.9,7035,6974.45,0.87,7225.55,2.71,7100,6986,7047
30-Sep-2025,ETERNAL,0.79,322.9,277.15,16.51,322.85,-0.01,300,332.25,321
30-Sep-2025,EXIDEIND,0.52,388.75,387.5,0.33,412.5,6.11,400,393.15,388.8
30-Sep-2025,FEDERALBNK,0.67,191.74,191.04999999999998,0.37,208.95000000000002,8.98,200.0,193.33,191.82
30-Sep-2025,FORTIS,0.65,933,932.5,0.06,1027.5,10.13,980,944.6,932.75
30-Sep-2025,GAIL,0.51,172.05,171.7,0.21,188.3,9.45,180.0,174.42,172.02
30-Sep-2025,GLENMARK,0.74,1972,1953.35,0.96,2006.65,1.76,1980,2030.7,1971.7
30-Sep-2025,GMRAIRPORT,0.42,87.23,87.35000000000001,-0.13,102.64999999999999,17.68,95,89.12,87.28
30-Sep-2025,GODREJCP,0.49,1164.5,1159.5,0.44,1360.5,16.84,1260,1189.2,1163.9
30-Sep-2025,GODREJPROP,0.49,1963,1962.25,0.04,2437.75,24.19,2200,1967.4,1957.6
30-Sep-2025,GRASIM,0.51,2745,2743.8,0.05,3056.2,11.34,2900,2778.6,2746.8
30-Sep-2025,HAL,0.73,4734.8,4707.450000000001,0.59,5092.549999999999,7.56,4900,4775.2,4736.1
30-Sep-2025,HAVELLS,0.42,1504,1500.7,0.22,1699.3,12.99,1600,1539.6,1507.4
30-Sep-2025,HCLTECH,0.54,1395.1,1391.8500000000001,0.24,1528.1499999999999,9.54,1460,1423.8,1395.3
30-Sep-2025,HDFCAMC,0.71,5620,5639.35,-0.34,5960.65,6.07,5800,5751,5621
30-Sep-2025,HDFCBANK,0.54,944.25,944.0500000000001,0.03,995.9499999999999,5.48,970,949.85,945.05
30-Sep-2025,HDFCLIFE,0.47,764,764.25,-0.03,835.75,9.4,800,765.05,764.4
30-Sep-2025,HEROMOTOCO,0.61,5319,5306.95,0.23,5693.05,7.04,5500,5354.5,5328
30-Sep-2025,HFCL,0.69,72.25,71.95,0.42,88.05,21.87,80.0,76.4,72.1
30-Sep-2025,HINDALCO,0.61,742.5,740.2,0.32,779.8,5.03,760,745.65,743.85
30-Sep-2025,HINDPETRO,0.95,422.4,396.45000000000005,6.55,423.54999999999995,0.28,410.0,423.5,422.25
30-Sep-2025,HINDUNILVR,0.25,2512,2514.8999999999996,-0.11,2885.1000000000004,14.86,2700,2538.3,2511.8
30-Sep-2025,HINDZINC,0.51,449.5,448.15,0.31,491.85,9.43,470,466.75,449.1
30-Sep-2025,HUDCO,0.66,220.79,220.1,0.32,259.9,17.72,240,228.45,220.05
30-Sep-2025,ICICIBANK,0.54,1362.5,1362.9,-0.02,1437.1,5.48,1400,1375.8,1359.6
30-Sep-2025,ICICIGI,0.64,1885.2,1867.9,0.93,1932.1,2.49,1900,1881.8,1894
30-Sep-2025,ICICIPRULI,0.57,583.95,582.55,0.25,617.45,5.74,600,595,585.5
30-Sep-2025,IDEA,0.77,8.04,7.949999999999999,1.14,10.05,25.01,9,8.68,8.02
30-Sep-2025,IDFCFIRSTB,0.61,68.65,68.60000000000001,0.08,75.39999999999999,9.84,72,69.93,68.59
30-Sep-2025,IEX,0.64,137.5,137.29999999999998,0.15,162.70000000000002,18.33,150.0,139.82,137.76
30-Sep-2025,IGL,0.6,202.42,202.9,-0.23,237.1,17.14,220,204.95,202.26
30-Sep-2025,IIFL,0.53,420,418.75,0.3,481.25,14.59,450,436.2,419.35
30-Sep-2025,INDHOTEL,0.36,710.2,715.0999999999999,-0.68,884.9000000000001,24.6,800,732.15,709.8
30-Sep-2025,INDIANB,0.58,706.8,702.95,0.55,737.05,4.28,720,712.4,706.35
30-Sep-2025,INDIGO,0.4,5540,5500.7,0.72,6099.3,10.1,5800,5674.5,5561
30-Sep-2025,INDUSINDBK,0.68,712,710.5,0.22,789.5,10.89,750,740.75,712.75
30-Sep-2025,INDUSTOWER,0.66,347.5,346.65,0.25,373.35,7.44,360,356.45,346.3
30-Sep-2025,INFY,0.54,1452.2,1457.6999999999998,-0.37,1622.3000000000002,11.72,1540,1484.8,1448.9
30-Sep-2025,INOXWIND,0.44,137.79,137.45,0.25,172.55,25.23,155.0,141.14,137.46
30-Sep-2025,IOC,0.74,144.9,144.95,-0.03,155.05,7.01,150.0,146.22,145.04
30-Sep-2025,IRCTC,0.53,704,702.4,0.23,757.6,7.62,730,714.9,703.1
30-Sep-2025,IREDA,0.52,146.69,146.0,0.48,174.0,18.62,160,150.27,146.28
30-Sep-2025,IRFC,0.44,122.2,121.85,0.29,138.15,13.06,130.0,124.08,121.91
30-Sep-2025,ITC,0.61,405,403.25,0.44,416.75,2.91,410,400.1,405.1
30-Sep-2025,JINDALSTEL,0.69,1030.95,1027.65,0.33,1072.35,4.02,1050,1051.7,1029.5
30-Sep-2025,JIOFIN,0.52,296.35,295.45,0.31,344.55,16.27,320,301.6,295.85
30-Sep-2025,JSWENERGY,0.48,521,520.0,0.2,580.0,11.33,550,528.6,520.1
30-Sep-2025,JSWSTEEL,0.77,1128.5,1128.4,0.01,1211.6,7.37,1170,1148.5,1130.8
30-Sep-2025,JUBLFOOD,0.46,609,606.6999999999999,0.38,673.3000000000001,10.56,640,621.7,606.9
30-Sep-2025,KALYANKJIL,0.49,458,456.15,0.41,563.85,23.12,510,462.55,455.8
30-Sep-2025,KAYNES,0.7,7340,7303.35,0.51,7896.65,7.59,7600,7503,7341
30-Sep-2025,KEI,0.46,4060,4050.7500000000005,0.23,4549.25,12.06,4300,4157.9,4049.3
30-Sep-2025,KFINTECH,0.49,1069,1055.15,1.32,1244.85,16.45,1150,1063.1,1070.8
30-Sep-2025,KOTAKBANK,0.78,1993.6,1990.6499999999999,0.15,2089.35,4.81,2040,2013.5,1994.8
30-Sep-2025,KPITTECH,0.55,1215.7,1219.2,-0.28,1420.8,16.88,1320,1255.7,1212.8
30-Sep-2025,LAURUSLABS,0.5,832.3,832.8,-0.06,1007.2,21.02,920,896.35,832.3
30-Sep-2025,LICHSGFIN,0.68,562.75,566.25,-0.61,633.75,12.62,600,571.4,564.95
30-Sep-2025,LICI,0.45,872.5,872.15,0.05,927.85,6.35,900,888.2,872.45
30-Sep-2025,LODHA,0.42,1143.1,1138.2,0.44,1261.8,10.39,1200,1149.4,1141.1
30-Sep-2025,LT,0.61,3743,3555.1,5.29,3744.9,0.06,3650,3644.4,3729.5
30-Sep-2025,LTF,0.97,235.72,236.35,-0.26,263.65000000000003,11.85,250.0,244.06,236.29
30-Sep-2025,LTIM,0.46,5047,5023.25,0.48,5976.75,18.43,5500,5214,5075
30-Sep-2025,LUPIN,0.64,1922.9,1974.5,-2.61,2425.5,26.14,2200,1963.5,1919.8
30-Sep-2025,M%26M,0.55,3400,3397.3,0.08,3802.7,11.85,3600,3530,3396.5
30-Sep-2025,MANAPPURAM,0.67,277,277.5,-0.18,322.5,16.43,300,281.2,276.9
30-Sep-2025,MANKIND,0.55,2475.3,2483.15,-0.31,2916.85,17.84,2700,2526.2,2482.9
