Date,Symbol,Type,Sentiment,Senti_pct,Senti_oi
2025-10-31,360ONE,Non-Hld,1,2,1
2025-10-31,ABB,Holding,3,3,2
2025-10-31,ABCAPITAL,Non-Hld,4,2,3
2025-10-31,ADANIENSOL,Non-Hld,8,7,4
2025-10-31,ADANIENT,Non-Hld,4,3,2
2025-10-31,ADANIGREEN,Non-Hld,4,2,1
2025-10-31,ADANIPORTS,Non-Hld,3,5,4
2025-10-31,ALKEM,Non-Hld,4,8,5
2025-10-31,AMBER,Non-Hld,5,2,1
2025-10-31,AMBUJACEM,Non-Hld,0,3,2
2025-10-31,ANGELONE,Non-Hld,5,5,3
2025-10-31,APLAPOLLO,Non-Hld,4,5,4
2025-10-31,APOLLOHOSP,Non-Hld,5,2,1
2025-10-31,ASHOKLEY,Non-Hld,3,2,1
2025-10-31,ASIANPAINT,Non-Hld,1,3,2
2025-10-31,ASTRAL,Non-Hld,4,3,2
2025-10-31,AUBANK,Non-Hld,5,3,2
2025-10-31,AUROPHARMA,Non-Hld,7,8,5
2025-10-31,AXISBANK,Non-Hld,3,2,1
2025-10-31,BAJAJ-AUTO,Non-Hld,2,2,1
2025-10-31,BAJAJFINSV,Non-Hld,1,2,1
2025-10-31,BAJFINANCE,Non-Hld,2,3,2
2025-10-31,BANDHANBNK,Non-Hld,0,2,1
2025-10-31,BANKBARODA,Non-Hld,7,7,4
2025-10-31,BANKINDIA,Non-Hld,7,9,6
2025-10-31,BDL,Non-Hld,7,8,5
2025-10-31,BEL,Holding,8,9,6
2025-10-31,BHARATFORG,Non-Hld,7,8,5
2025-10-31,BHARTIARTL,Non-Hld,2,3,2
2025-10-31,BHEL,Non-Hld,7,9,6
2025-10-31,BIOCON,Non-Hld,2,3,2
2025-10-31,BLUESTARCO,Non-Hld,2,1,2
2025-10-31,BOSCHLTD,Non-Hld,8,5,3
2025-10-31,BPCL,Non-Hld,7,8,5
2025-10-31,BRITANNIA,Non-Hld,3,1,1
2025-10-31,BSE,Holding,7,9,6
2025-10-31,CAMS,Holding,0,3,2
2025-10-31,CANBK,Non-Hld,6,9,6
2025-10-31,CDSL,Holding,1,2,1
2025-10-31,CGPOWER,Holding,5,4,2
2025-10-31,CHOLAFIN,Non-Hld,6,9,6
2025-10-31,CIPLA,Non-Hld,0,2,1
2025-10-31,COALINDIA,Holding,5,7,6
2025-10-31,COFORGE,Non-Hld,1,3,2
2025-10-31,COLPAL,Non-Hld,1,3,2
2025-10-31,CONCOR,Non-Hld,3,2,1
2025-10-31,CROMPTON,Non-Hld,1,2,1
2025-10-31,CUMMINSIND,Non-Hld,4,2,2
2025-10-31,CYIENT,Non-Hld,2,0,0
2025-10-31,DABUR,Non-Hld,2,2,1
2025-10-31,DALBHARAT,Non-Hld,6,4,3
2025-10-31,DELHIVERY,Non-Hld,1,1,0
