Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,BB_LO_chg,BB_LO_pct_chg,BB_LO_trend,BB-FnO
03-Oct-25,28-Oct-25,360ONE,Non-Hld,1047.1,,,unchanged,1100,unchanged,1029.45,,,unchanged,1.72,unchanged,1170.55,,,unchanged,11.79,unchanged,0.95,unchanged,49.54,unchanged,-9.88,unchanged,-8.81,unchanged,-1.07,unchanged,1109.09,,,unchanged,1052.01,,,unchanged,994.93,,,unchanged,Neutral (BB_MID Between Res-Sup)
06-Oct-25,28-Oct-25,360ONE,Non-Hld,1059.5,,,unchanged,1100,unchanged,1033.15,,,unchanged,2.56,unchanged,1166.85,,,unchanged,10.14,unchanged,0.79,unchanged,52.79,unchanged,-7.39,unchanged,-8.52,unchanged,1.13,unchanged,1110.1,,,unchanged,1053.25,,,unchanged,996.4,,,unchanged,Neutral (BB_MID Between Res-Sup)
07-Oct-25,28-Oct-25,360ONE,Non-Hld,1067,19.9,1.9,up,1100,unchanged,1036.75,7.3,0.71,up,2.92,up,1163.25,-7.3,-0.62,down,9.03,down,0.73,down,54.47,up,-4.81,up,-7.78,up,2.97,up,1111.65,2.56,0.23,up,1054.72,2.71,0.26,up,997.79,2.86,0.29,up,Neutral (BB_MID Between Res-Sup)
08-Oct-25,28-Oct-25,360ONE,Non-Hld,1085.9,26.4,2.49,up,1100,unchanged,1038.1,4.95,0.48,up,4.61,up,1161.9,-4.95,-0.42,down,7,down,0.68,down,58.11,up,-1.46,up,-6.52,up,5.06,up,1114.99,4.89,0.44,up,1056.79,3.54,0.34,up,998.59,2.19,0.22,up,Neutral (BB_MID Between Res-Sup)
09-Oct-25,28-Oct-25,360ONE,Non-Hld,1081.7,14.7,1.38,up,1100,unchanged,1040.75,4,0.39,up,3.94,up,1159.25,-4,-0.34,down,7.17,down,0.69,down,57.83,up,1.11,up,-4.99,up,6.1,up,1115.84,4.19,0.38,up,1057.11,2.39,0.23,up,998.38,0.59,0.06,up,Neutral (BB_MID Between Res-Sup)
10-Oct-25,28-Oct-25,360ONE,Non-Hld,1093.2,7.3,0.67,up,1100,unchanged,1042.15,4.05,0.39,up,4.9,up,1157.85,-4.05,-0.35,down,5.92,down,0.69,up,60.3,up,3.97,up,-3.2,up,7.17,up,1120.03,5.04,0.45,up,1059.01,2.22,0.21,up,997.99,-0.6,-0.06,down,Neutral (BB_MID Between Res-Sup)
13-Oct-25,28-Oct-25,360ONE,Non-Hld,1100,18.3,1.69,up,1100,unchanged,1042.6,1.85,0.18,up,5.51,up,1157.4,-1.85,-0.16,down,5.22,down,0.55,down,61.72,up,6.66,up,-1.23,up,7.89,up,1124.3,8.46,0.76,up,1060.64,3.53,0.33,up,996.98,-1.4,-0.14,down,Neutral (BB_MID Between Res-Sup)
14-Oct-25,28-Oct-25,360ONE,Non-Hld,1122,28.8,2.63,up,1100,unchanged,1038.4,-3.75,-0.36,down,8.06,up,1161.6,3.75,0.32,up,3.53,down,0.5,down,66.84,up,10.72,up,1.16,up,9.55,up,1132.56,12.53,1.12,up,1063.03,4.02,0.38,up,993.49,-4.5,-0.45,down,Neutral (BB_MID Between Res-Sup)
15-Oct-25,28-Oct-25,360ONE,Non-Hld,1161,61,5.55,up,1100,unchanged,1021.2,-21.4,-2.05,down,13.69,up,1178.8,21.4,1.85,up,1.54,down,0.6,up,72.19,up,16.46,up,4.22,up,12.24,up,1147.27,22.97,2.04,up,1066.49,5.85,0.55,up,985.71,-11.27,-1.13,down,Neutral (BB_MID Between Res-Sup)
16-Oct-25,28-Oct-25,360ONE,Non-Hld,1169.7,47.7,4.25,up,1100,unchanged,1014.55,-23.85,-2.3,down,15.3,up,1185.45,23.85,2.05,up,1.35,down,0.59,up,73.73,up,21.68,up,7.71,up,13.96,up,1161.75,29.19,2.58,up,1069.93,6.9,0.65,up,978.11,-15.38,-1.55,down,Neutral (BB_MID Between Res-Sup)
