Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Dist_from_BB_HI,Dist_from_BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
03-Nov-25,25-Nov-25,360ONE,Non-Hld,1095.0,,,unchanged,1200.0,unchanged,1089.8,,,unchanged,0.48,unchanged,1310.2,,,unchanged,19.65,unchanged,0.5,unchanged,45.3,unchanged,13.49,unchanged,22.67,unchanged,-9.17,unchanged,1211.09,,,unchanged,1126.52,,,unchanged,1041.94,10.60,5.09,Bearish,7.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,20.0,Neutral (BB_MID Between Res-Sup)
03-Oct-25,28-Oct-25,360ONE,Non-Hld,1047.1,,,unchanged,1100.0,unchanged,1029.45,,,unchanged,1.72,unchanged,1170.55,,,unchanged,11.79,unchanged,0.95,unchanged,49.54,unchanged,-9.88,unchanged,-8.81,unchanged,-1.07,unchanged,1109.09,,,unchanged,1052.01,,,unchanged,994.93,5.92,5.24,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
04-Nov-25,25-Nov-25,360ONE,Non-Hld,1074.3,-20.7,-1.89,down,1200.0,unchanged,1078.05,-11.75,-1.08,down,-0.35,down,1321.95,11.75,0.9,up,23.05,up,0.46,down,42.17,down,8.71,down,19.88,down,-11.16,down,1209.05,-2.04,-0.17,down,1127.62,1.1,0.1,up,1046.19,12.54,2.69,Bearish,0.0,0.0,0.0,0.0,8.0,3.0,8.0,5.0,20.0,Neutral (BB_MID Between Res-Sup)
06-Nov-25,25-Nov-25,360ONE,Non-Hld,1066.4,19.3,1.84,up,1200.0,up,1072.35,42.9,4.17,up,-0.55,down,1327.65,157.1,13.42,up,24.5,up,0.41,down,39.94,down,4.0,up,16.7,up,-12.7,down,1208.62,99.53,8.97,up,1127.83,75.82,7.21,up,1047.04,13.34,1.85,Bearish,1.0,0.0,3.0,0.0,9.0,4.0,8.0,2.0,20.0,Neutral (BB_MID Between Res-Sup)
06-Oct-25,28-Oct-25,360ONE,Non-Hld,1059.5,-14.8,-1.38,down,1100.0,down,1033.15,-44.9,-4.16,down,2.56,up,1166.85,-155.1,-11.73,down,10.14,down,0.79,up,52.79,up,-7.39,down,-8.52,down,1.13,up,1110.1,-98.95,-8.18,down,1053.25,-74.37,-6.6,down,996.4,4.78,6.33,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
07-Nov-25,25-Nov-25,360ONE,Non-Hld,1066.2,-0.2,-0.02,down,1200.0,unchanged,1068.6,-3.75,-0.35,down,-0.22,up,1331.4,3.75,0.28,up,24.87,up,0.39,down,39.49,down,0.08,down,13.38,down,-13.29,down,1209.78,1.16,0.1,up,1127.14,-0.69,-0.06,down,1044.5,13.47,2.08,Bearish,6.0,1.0,4.0,5.0,4.0,0.0,0.0,2.0,20.0,Neutral (BB_MID Between Res-Sup)
07-Oct-25,28-Oct-25,360ONE,Non-Hld,1067.0,7.5,0.71,up,1100.0,unchanged,1036.75,3.6,0.35,up,2.92,up,1163.25,-3.6,-0.31,down,9.03,down,0.73,down,54.47,up,-4.81,up,-7.78,up,2.97,up,1111.65,1.55,0.14,up,1054.72,1.47,0.14,up,997.79,4.18,6.94,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
08-Oct-25,28-Oct-25,360ONE,Non-Hld,1085.9,19.7,1.85,up,1100.0,down,1038.1,-30.5,-2.85,down,4.61,up,1161.9,-169.5,-12.73,down,7.0,down,0.68,up,58.11,up,-1.46,down,-6.52,down,5.06,up,1114.99,-94.79,-7.84,down,1056.79,-70.35,-6.24,down,998.59,2.68,8.74,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
09-Oct-25,28-Oct-25,360ONE,Non-Hld,1081.7,14.7,1.38,up,1100.0,unchanged,1040.75,4.0,0.39,up,3.94,up,1159.25,-4.0,-0.34,down,7.17,down,0.69,down,57.83,up,1.11,up,-4.99,up,6.1,up,1115.84,4.19,0.38,up,1057.11,2.39,0.23,up,998.38,3.16,8.35,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
10-Nov-25,25-Nov-25,360ONE,Non-Hld,1075.7,-10.2,-0.94,down,1200.0,up,1073.3,35.2,3.39,up,0.22,down,1326.7,164.8,14.18,up,23.33,up,0.38,down,42.25,down,-2.3,down,10.24,up,-12.54,down,1210.08,95.09,8.53,up,1126.92,70.13,6.64,up,1043.76,12.49,3.06,6 - Very Bullish,5.0,0.0,6.0,2.0,2.0,2.0,0.0,1.0,20.0,Neutral (BB_MID Between Res-Sup)
10-Oct-25,28-Oct-25,360ONE,Non-Hld,1093.2,11.5,1.06,up,1100.0,unchanged,1042.15,1.4,0.13,up,4.9,up,1157.85,-1.4,-0.12,down,5.92,down,0.69,unchanged,60.3,up,3.97,up,-3.2,up,7.17,up,1120.03,4.19,0.38,up,1059.01,1.9,0.18,up,997.99,2.45,9.54,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
11-Nov-25,25-Nov-25,360ONE,Non-Hld,1081.0,5.3,0.49,up,1200.0,unchanged,1072.6,-0.7,-0.07,down,0.78,up,1327.4,0.7,0.05,up,22.79,down,0.37,down,41.17,down,-4.5,down,7.29,down,-11.8,up,1211.27,1.19,0.1,up,1125.95,-0.97,-0.09,down,1040.62,12.05,3.88,5 - Bullish,8.0,2.0,5.0,3.0,2.0,1.0,0.0,1.0,20.0,Neutral (BB_MID Between Res-Sup)
12-Nov-25,25-Nov-25,360ONE,Non-Hld,1087.0,-6.2,-0.57,down,1200.0,up,1087.05,44.9,4.31,up,0.0,down,1312.95,155.1,13.4,up,20.79,up,0.34,down,47.19,down,-4.67,down,4.9,up,-9.57,down,1211.46,91.43,8.16,up,1125.6,66.59,6.29,up,1039.75,11.45,4.54,5 - Bullish,12.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,20.0,Neutral (BB_MID Between Res-Sup)
