Date,expiryDate,Symbol,Type,CMP,CMP_chg,CMP_pct_chg,CMP_trend,strikePrice,strikePrice_trend,Support,Support_chg,Support_pct_chg,Support_trend,Dist_from_Support,Dist_from_Support_trend,Resistance,Resistance_chg,Resistance_pct_chg,Resistance_trend,Dist_from_Resist,Dist_from_Resist_trend,PCR,PCR_trend,RSI,RSI_trend,MACD,MACD_trend,MACD_Signal,MACD_Signal_trend,MACD_Hist,MACD_Hist_trend,BB_HI,BB_HI_chg,BB_HI_pct_chg,BB_HI_trend,BB_MID,BB_MID_chg,BB_MID_pct_chg,BB_MID_trend,BB_LO,Sentiment,Call_B,Call_S,Puts_W,Puts_L,Call_W,Call_L,Puts_B,Puts_S,Tot_Strikes,BB-FnO
03-10-2025,28-Oct-25,360ONE,Non-Hld,1047.1,,,unchanged,1100,unchanged,1029.45,,,unchanged,1.72,unchanged,1170.55,,,unchanged,11.79,unchanged,0.95,unchanged,49.54,unchanged,-9.88,unchanged,-8.81,unchanged,-1.07,unchanged,1109.09,,,unchanged,1052.01,,,unchanged,994.93,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ABB,Holding,5190,,,unchanged,5200,unchanged,4950.15,,,unchanged,4.85,unchanged,5449.85,,,unchanged,5.01,unchanged,0.72,unchanged,44.49,unchanged,-8.37,unchanged,3.14,unchanged,-11.51,unchanged,5450.37,,,unchanged,5248.96,,,unchanged,5047.55,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ABCAPITAL,Non-Hld,304.5,,,unchanged,300,unchanged,280.8,,,unchanged,8.45,unchanged,319.2,,,unchanged,4.83,unchanged,0.43,unchanged,64.88,unchanged,4.3,unchanged,3.48,unchanged,0.82,unchanged,300.48,,,unchanged,289.82,,,unchanged,279.16,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ADANIENSOL,Non-Hld,927.75,,,unchanged,1000,unchanged,906.35,,,unchanged,2.37,unchanged,1093.65,,,unchanged,17.89,unchanged,0.52,unchanged,66.14,unchanged,24.94,unchanged,20.94,unchanged,4,unchanged,951.07,,,unchanged,853.91,,,unchanged,756.75,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
03-10-2025,28-Oct-25,ADANIENT,Non-Hld,2586.1,,,unchanged,2600,unchanged,2448.7,,,unchanged,5.62,unchanged,2751.3,,,unchanged,6.39,unchanged,0.55,unchanged,63.09,unchanged,58.28,unchanged,49.13,unchanged,9.15,unchanged,2705.33,,,unchanged,2469.48,,,unchanged,2233.62,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ADANIGREEN,Non-Hld,1072.5,,,unchanged,1200,unchanged,1058.5,,,unchanged,1.33,unchanged,1341.5,,,unchanged,25.09,unchanged,0.72,unchanged,59.87,unchanged,27.58,unchanged,25.83,unchanged,1.75,unchanged,1144.59,,,unchanged,1019.91,,,unchanged,895.24,,,,,,,,,,,Moderate Uptrend (Sup Near BB_MID to BB_HI)
03-10-2025,28-Oct-25,ADANIPORTS,Non-Hld,1419.9,,,unchanged,1400,unchanged,1337.1,,,unchanged,6.2,unchanged,1462.9,,,unchanged,3.03,unchanged,0.73,unchanged,57.9,unchanged,13.26,unchanged,13.7,unchanged,-0.44,unchanged,1458.31,,,unchanged,1401.08,,,unchanged,1343.84,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,ALKEM,Non-Hld,5425,,,unchanged,5500,unchanged,5274.95,,,unchanged,2.85,unchanged,5725.05,,,unchanged,5.54,unchanged,0.9,unchanged,54.02,unchanged,48.84,unchanged,67.57,unchanged,-18.73,unchanged,5594.76,,,unchanged,5447.68,,,unchanged,5300.59,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
03-10-2025,28-Oct-25,AMBER,Non-Hld,8205.5,,,unchanged,8500,unchanged,7930.35,,,unchanged,3.47,unchanged,9069.65,,,unchanged,10.54,unchanged,0.99,unchanged,57.69,unchanged,172.19,unchanged,198.93,unchanged,-26.74,unchanged,8602.75,,,unchanged,8119.9,,,unchanged,7637.05,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,AMBUJACEM,Non-Hld,575.6,,,unchanged,600,unchanged,567.5,,,unchanged,1.43,unchanged,632.5,,,unchanged,9.89,unchanged,0.73,unchanged,50.33,unchanged,-1.52,unchanged,-1.46,unchanged,-0.06,unchanged,591.65,,,unchanged,573.44,,,unchanged,555.23,,,,,,,,,,,Neutral (BB_MID Between Res-Sup)
03-10-2025,28-Oct-25,ANGELONE,Non-Hld,2205,,,unchanged,2200,unchanged,2008.1,,,unchanged,9.81,unchanged,2391.9,,,unchanged,8.48,unchanged,0.74,unchanged,40.66,unchanged,-70.83,unchanged,-77.86,unchanged,7.03,unchanged,2358.04,,,unchanged,2232.68,,,unchanged,2107.32,,,,,,,,,,,Volatile Wide Range (BB within Res-Support)
